"","X.2","X.1","X","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","other.nonas","decided.total","trump.defs","clinton.defs","other.defs"
"1",1,1,1,"--","Insights West","2016-11-04","2016-11-07","2016-11-08T12:16:30Z",940,"Likely Voters","Internet",41,45,2,8,"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812","http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/","Nonpartisan","None","As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1,2,88,46.5909090909091,51.1363636363636,2.27272727272727
"2",2,2,5,"--","IBD/TIPP","2016-11-04","2016-11-07","2016-11-08T12:10:06Z",1107,"Likely Voters","Live Phone",43,41,4,5,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",1,4,88,48.8636363636364,46.5909090909091,4.54545454545455
"3",3,3,6,"--","IBD/TIPP","2016-11-04","2016-11-07","2016-11-08T12:10:06Z",1107,"Likely Voters","Live Phone",42,43,5,9,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/","Nonpartisan","None","",2,5,90,46.6666666666667,47.7777777777778,5.55555555555556
"4",4,4,7,"--","YouGov/Economist","2016-11-04","2016-11-07","2016-11-07T21:25:46Z",3669,"Likely Voters","Internet",41,45,5,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805","https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/","Nonpartisan","None","",1,5,91,45.0549450549451,49.4505494505495,5.49450549450549
"5",5,5,11,"--","YouGov/Economist","2016-11-04","2016-11-07","2016-11-07T21:25:46Z",3669,"Likely Voters","Internet",45,49,7,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805","https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/","Nonpartisan","None","",2,7,101,44.5544554455446,48.5148514851485,6.93069306930693
"6",6,6,15,"--","Lucid/The Times-Picayune","2016-11-04","2016-11-06","2016-11-07T15:43:26Z",931,"Likely Voters","Internet",40,45,2,7,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26788","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,2,87,45.9770114942529,51.7241379310345,2.29885057471264
"7",7,7,16,"--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",799,"Likely Voters","Live Phone",43,46,5,6,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote? ",1,5,94,45.7446808510638,48.936170212766,5.31914893617021
"8",8,8,20,"--","Bloomberg/Selzer","2016-11-04","2016-11-06","2016-11-07T12:18:47Z",799,"Likely Voters","Live Phone",41,44,2,8,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0","Nonpartisan","None","If the general election were held today, and the candidates were Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarian Party, and Jill Stein for the Green Party, for whom would you vote? ",2,2,87,47.1264367816092,50.5747126436782,2.29885057471264
"9",9,9,21,"--","ABC/Post","2016-11-03","2016-11-06","2016-11-07T20:19:38Z",2220,"Likely Voters","Live Phone",43,47,4,1,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26799","https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/","Nonpartisan","None","",1,4,94,45.7446808510638,50,4.25531914893617
"10",10,10,22,"--","ABC/Post","2016-11-03","2016-11-06","2016-11-07T20:19:38Z",2220,"Likely Voters","Live Phone",46,49,3,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-26799","https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/","Nonpartisan","None","",2,3,98,46.9387755102041,50,3.06122448979592
"11",11,11,23,"--","Monmouth University","2016-11-03","2016-11-06","2016-11-07T16:02:39Z",748,"Likely Voters","Live Phone",44,50,3,1,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26790","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1,3,97,45.360824742268,51.5463917525773,3.09278350515464
"12",12,12,24,"--","Monmouth University","2016-11-03","2016-11-06","2016-11-07T16:02:39Z",748,"Likely Voters","Live Phone",44,50,5,1,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26790","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/","Nonpartisan","None","",2,5,99,44.4444444444444,50.5050505050505,5.05050505050505
"13",13,13,25,"--","FOX","2016-11-03","2016-11-06","2016-11-07T15:12:41Z",1295,"Likely Voters","Live Phone",44,48,4,1,"http://elections.huffingtonpost.com/pollster/polls/fox-26784","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html","Nonpartisan","None","",1,4,96,45.8333333333333,50,4.16666666666667
"14",14,14,29,"--","FOX","2016-11-03","2016-11-06","2016-11-07T15:12:41Z",1295,"Likely Voters","Live Phone",44,48,2,7,"http://elections.huffingtonpost.com/pollster/polls/fox-26784","http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html","Nonpartisan","None","",2,2,94,46.8085106382979,51.063829787234,2.12765957446809
"15",15,15,33,"--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",2195,"Likely Voters","Internet",39,44,9,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,9,92,42.3913043478261,47.8260869565217,9.78260869565217
"16",16,16,37,"--","Ipsos/Reuters","2016-11-02","2016-11-06","2016-11-08T12:06:14Z",2195,"Likely Voters","Internet",39,42,6,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810","http://www.ipsos-na.com/download/pr.aspx?id=16119","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,6,87,44.8275862068966,48.2758620689655,6.89655172413793
"17",17,17,41,"--","Rasmussen","2016-11-02","2016-11-06","2016-11-07T13:46:46Z",1500,"Likely Voters","IVR/Online",43,45,5,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-26781","http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/november_2016/crosstabs_election_2016_white_house_watch_november_2_3_6_2016","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,5,93,46.2365591397849,48.3870967741936,5.37634408602151
"18",18,18,42,"--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",1426,"Likely Voters","Live Phone",43,47,5,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",1,5,95,45.2631578947368,49.4736842105263,5.26315789473684
"19",19,19,46,"--","CBS/Times","2016-11-02","2016-11-06","2016-11-07T13:16:02Z",1426,"Likely Voters","Live Phone",41,45,4,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778","http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/","Nonpartisan","None","",2,4,90,45.5555555555556,50,4.44444444444444
"20",20,20,53,"--","Politico/Morning Consult","2016-11-04","2016-11-05","2016-11-06T12:47:24Z",1482,"Likely Voters","Internet",42,45,4,0,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/","Nonpartisan","None","",1,4,91,46.1538461538462,49.4505494505495,4.3956043956044
"21",21,21,57,"--","NBC/WSJ","2016-11-03","2016-11-05","2016-11-06T14:21:45Z",1282,"Likely Voters","Live Phone",40,44,5,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753","https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final","Nonpartisan","None","If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?",1,5,89,44.9438202247191,49.438202247191,5.61797752808989
"22",22,22,58,"--","NBC/WSJ","2016-11-03","2016-11-05","2016-11-06T14:21:45Z",1282,"Likely Voters","Live Phone",43,48,3,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753","https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final","Nonpartisan","None","And, if the election for president were held today, with only Donald Trump and Mike Pence as the Republican candidates, and Hillary Clinton and Tim Kaine as the Democratic candidates, for whom would you vote?",2,3,94,45.7446808510638,51.063829787234,3.19148936170213
